player_id,time_played,Distance[km],High_Intensity_Distance[km],Distance[km]_[0-15 km/h],Distance[km]_[15-20 km/h],Distance[km]_[20-25 km/h],Distance[km]_[25-20 km/h],Distance[km]_[30+ km/h],#sprints_[25+ km/h],Avg_Speed[km/h],Max_Speed[km/h],acc_max[m/s2],#acc>3m/s2,#acc>4m/s2,#dec>3m/s2,#dec>4m/s2,HR_min[bpm],HR_max[bpm],HR_mean[bpm],mins_in_HR_Zone_1,mins_in_HR_Zone_2,mins_in_HR_Zone_3,mins_in_HR_Zone_4,mins_in_HR_Zone_5
10.0,49.90166666666667,5.670697190000001,1.04703549,4.6236616999999995,0.58883405,0.22014333000000003,0.07839498000000002,0.02874969,138.0,6.818245844828179,31.91364,4.984000000000002,75.0,7.0,97.0,6.0,104.9306,195.5544,161.7149230453221,5.75,3.4533333333333336,5.846666666666667,16.835,18.016666666666666
12.0,49.90166666666667,5.23955193,0.722023,4.51752893,0.5725852600000001,0.09580204,0.0,0.0,0.0,6.299852024982505,23.85036,4.047999999999994,49.0,1.0,55.0,13.0,50.72503,172.5122,122.07592621917702,5.686666666666667,13.703333333333335,15.231666666666667,8.71,3.256666666666667
9.0,49.90166666666667,4.93665488,0.96882034,3.96783454,0.49008809000000003,0.2683166,0.05934801,0.0,81.0,5.93565931932796,29.72592,4.347999999999996,86.0,5.0,115.0,18.0,72.93436,182.4092,133.87926046691578,7.510000000000001,9.326666666666666,17.05666666666667,12.301666666666668,2.8600000000000003
2.0,49.90166666666667,4.61197942,0.46113063000000004,4.15084879,0.32624539,0.08256414000000001,0.007918719999999999,0.0,11.0,5.545281023345903,26.20656,4.2090000000000005,33.0,2.0,122.0,15.0,50.07451,154.8087,108.25709728953264,3.3533333333333335,13.06,11.918333333333333,10.376666666666667,3.193333333333334
7.0,49.90166666666667,5.4731887200000005,0.98064518,4.49254354,0.7438114599999999,0.14922073,0.0,0.0,0.0,6.580768642329902,24.42312,4.352,60.0,3.0,121.0,30.0,51.0341,171.8034,123.92702787482327,5.215000000000001,14.46,14.068333333333333,11.946666666666667,2.5483333333333333
5.0,49.90166666666667,4.528086150000001,0.5355948100000001,3.9924913400000004,0.39100662999999997,0.08003261000000002,0.020801849999999997,0.0,29.0,5.444410721084758,26.69472,4.561000000000002,80.0,7.0,175.0,48.0,50.41468,179.8275,131.9177900907725,5.236666666666667,14.836666666666668,8.764999999999999,11.783333333333333,6.765000000000001
8.0,42.41166666666667,3.2709897900000007,0.5978117400000001,2.67317805,0.36700184999999996,0.12442690000000001,0.02874834000000001,0.0,38.0,4.627485850591286,29.44116,4.926000000000004,56.0,10.0,111.0,19.0,97.71472,199.1652,149.3992907607974,8.455,4.760000000000001,7.663333333333333,14.346666666666668,5.778333333333334
1.0,49.69666666666667,4.822542690000001,0.84978575,3.97275694,0.6055956799999999,0.14749552,0.02362281,0.0,32.0,5.822373628009876,27.39888,4.477999999999995,86.0,8.0,131.0,19.0,86.0298,183.4773,140.8308670782739,8.255,5.566666666666666,12.066666666666666,17.275,6.281666666666667
