xField[m],yField[m]
0.000000,72.000000
0.000000,0.000000
118.000000,0.000000
118.000000,72.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20181031T183144200,51.667634,44.494815,46.371416,6.228506,3.897000,1.045542e+02,NaN,NaN
20181031T183144300,51.700813,44.503215,46.371416,6.228506,3.676320,1.045542e+02,NaN,NaN
20181031T183144400,51.699483,44.554440,46.371416,6.228506,3.467160,1.045542e+02,NaN,NaN
20181031T183144500,51.652236,44.573415,46.371416,6.228505,3.213000,1.045542e+02,NaN,NaN
20181031T183144600,51.618393,44.590627,46.371416,6.228505,2.887920,1.045542e+02,NaN,NaN
20181031T183144700,51.544336,44.613127,46.371415,6.228504,2.630880,1.045542e+02,NaN,NaN
20181031T183144800,51.500606,44.625258,46.371415,6.228504,2.323440,1.045542e+02,NaN,NaN
20181031T183144900,51.452694,44.669845,46.371415,6.228503,2.053440,1.045542e+02,NaN,NaN
20181031T183145000,51.406111,44.663207,46.371415,6.228503,1.886400,1.046607e+02,NaN,NaN
20181031T183145100,51.382820,44.659888,46.371414,6.228503,1.712520,1.046607e+02,NaN,NaN
20181031T183145200,51.329867,44.641325,46.371414,6.228503,1.644480,1.046607e+02,NaN,NaN
20181031T183145300,51.267028,44.617681,46.371413,6.228503,1.676160,1.046607e+02,NaN,NaN
20181031T183145400,51.223962,44.604199,46.371413,6.228502,1.693440,1.046607e+02,NaN,NaN
20181031T183145500,51.172339,44.534411,46.371412,6.228503,1.765440,1.046607e+02,NaN,NaN
20181031T183145600,51.130604,44.469705,46.371412,6.228503,1.841760,1.046607e+02,NaN,NaN
20181031T183145700,51.107977,44.440773,46.371411,6.228504,1.811520,1.046607e+02,NaN,NaN
20181031T183145800,51.088868,44.404998,46.371411,6.228504,1.827360,1.046607e+02,NaN,NaN
20181031T183145900,51.069094,44.394835,46.371411,6.228504,1.757160,1.047669e+02,NaN,NaN
20181031T183146000,51.069758,44.369222,46.371411,6.228504,1.694880,1.047669e+02,NaN,NaN
20181031T183146100,51.070423,44.343610,46.371410,6.228505,1.651680,1.047669e+02,NaN,NaN
20181031T183146200,51.111301,44.312710,46.371411,6.228505,1.638720,1.047669e+02,NaN,NaN
20181031T183146300,51.164253,44.331273,46.371411,6.228505,1.565280,1.047669e+02,NaN,NaN
20181031T183146400,51.200284,44.358442,46.371412,6.228505,1.538640,1.047669e+02,NaN,NaN
20181031T183146500,51.275863,44.405937,46.371412,6.228505,1.532520,1.047669e+02,NaN,NaN
20181031T183146600,51.348590,44.434662,46.371413,6.228505,1.557000,1.047669e+02,NaN,NaN
20181031T183146700,51.389468,44.403762,46.371413,6.228506,1.550880,1.048755e+02,NaN,NaN
20181031T183146800,51.434527,44.340406,46.371413,6.228507,1.599840,1.048755e+02,NaN,NaN
20181031T183146900,51.480252,44.251437,46.371413,6.228508,1.763280,1.048755e+02,NaN,NaN
20181031T183147000,51.503350,44.133537,46.371413,6.228510,2.016720,1.048755e+02,NaN,NaN
20181031T183147100,51.545557,44.051412,46.371413,6.228511,2.311560,1.048755e+02,NaN,NaN
20181031T183147200,51.580065,44.008587,46.371413,6.228511,2.436480,1.048755e+02,NaN,NaN
20181031T183147300,51.605351,43.935068,46.371413,6.228512,2.572920,1.048755e+02,NaN,NaN
20181031T183147400,51.612385,43.921381,46.371413,6.228513,2.580480,1.048755e+02,NaN,NaN
20181031T183147500,51.643376,43.885399,46.371413,6.228513,2.531520,1.049984e+02,NaN,NaN
20181031T183147600,51.709733,43.902200,46.371414,6.228513,2.454120,1.049984e+02,NaN,NaN
20181031T183147700,51.776755,43.893388,46.371414,6.228514,2.453040,1.049984e+02,NaN,NaN
20181031T183147800,51.840259,43.891419,46.371415,6.228514,2.410920,1.049984e+02,NaN,NaN
20181031T183147900,51.927054,43.892770,46.371415,6.228515,2.397600,1.049984e+02,NaN,NaN
20181031T183148000,52.016703,43.912890,46.371416,6.228515,2.338200,1.049984e+02,NaN,NaN
20181031T183148100,52.080207,43.910921,46.371417,6.228516,2.216520,1.049984e+02,NaN,NaN
20181031T183148200,52.116903,43.912478,46.371417,6.228516,2.101680,1.049984e+02,NaN,NaN
20181031T183148300,52.153598,43.914034,46.371417,6.228516,1.982160,1.049984e+02,NaN,NaN
20181031T183148400,52.203698,43.913828,46.371418,6.228516,1.995840,1.051242e+02,NaN,NaN
20181031T183148500,52.253798,43.913622,46.371418,6.228517,2.006280,1.051242e+02,NaN,NaN
20181031T183148600,52.324337,43.897967,46.371419,6.228517,2.046960,1.051242e+02,NaN,NaN
20181031T183148700,52.394876,43.882311,46.371419,6.228518,2.086560,1.051242e+02,NaN,NaN
20181031T183148800,52.485189,43.876818,46.371420,6.228518,2.162160,1.051242e+02,NaN,NaN
20181031T183148900,52.568467,43.885012,46.371421,6.228519,2.197800,1.051242e+02,NaN,NaN
20181031T183149000,52.641194,43.913738,46.371421,6.228519,2.162880,1.051242e+02,NaN,NaN
20181031T183149100,52.690629,43.939144,46.371422,6.228519,2.135880,1.051242e+02,NaN,NaN
20181031T183149200,52.759838,43.974714,46.371423,6.228519,2.227680,1.052539e+02,NaN,NaN
20181031T183149300,52.802239,44.013808,46.371423,6.228519,2.280240,1.052539e+02,NaN,NaN
20181031T183149400,52.861561,44.044296,46.371424,6.228519,2.341800,1.052539e+02,NaN,NaN
20181031T183149500,52.920219,44.100397,46.371424,6.228518,2.410920,1.052539e+02,NaN,NaN
20181031T183149600,52.968324,44.177028,46.371425,6.228518,2.479320,1.052539e+02,NaN,NaN
20181031T183149700,53.000173,44.236654,46.371426,6.228517,2.522520,1.052539e+02,NaN,NaN
20181031T183149800,53.036204,44.263823,46.371426,6.228517,2.433600,1.052539e+02,NaN,NaN
20181031T183149900,53.078605,44.302917,46.371426,6.228517,2.282040,1.052539e+02,NaN,NaN
20181031T183150000,53.094197,44.345536,46.371427,6.228517,2.166840,1.053922e+02,NaN,NaN
20181031T183150100,53.127375,44.353936,46.371427,6.228517,2.055600,1.053922e+02,NaN,NaN
20181031T183150200,53.150666,44.357255,46.371427,6.228517,1.886040,1.053922e+02,NaN,NaN
20181031T183150300,53.164735,44.329880,46.371427,6.228517,1.745640,1.053922e+02,NaN,NaN
20181031T183150400,53.151996,44.306030,46.371427,6.228517,1.594080,1.053922e+02,NaN,NaN
20181031T183150500,53.119482,44.272017,46.371427,6.228518,1.479960,1.053922e+02,NaN,NaN
20181031T183150600,53.125659,44.162723,46.371426,6.228519,1.462320,1.053922e+02,NaN,NaN
20181031T183150700,53.103032,44.133792,46.371426,6.228519,1.378440,1.053922e+02,NaN,NaN
20181031T183150800,53.084588,44.072404,46.371426,6.228520,1.416960,1.053922e+02,NaN,NaN
